Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0903747,2013-03-18,2013-03-18,,"Во все тяжкие","Breaking Bad",https://www.imdb.com/title/tt0903747/,TV Series,9.5,45,2008,"Crime, Drama, Thriller",2420642,2008-01-20,
2,tt0944947,2013-03-18,2013-03-18,,"Игра престолов","Game of Thrones",https://www.imdb.com/title/tt0944947/,TV Series,9.2,60,2011,"Action, Adventure, Drama, Fantasy",2496657,2011-09-08,
3,tt8111088,2021-01-24,2021-01-24,,"Мандалорец","The Mandalorian",https://www.imdb.com/title/tt8111088/,TV Series,8.6,40,2019,"Action, Adventure, Fantasy, Sci-Fi",639400,2019-11-12,
4,tt0108778,2013-03-18,2013-03-18,,"Друзья","Friends",https://www.imdb.com/title/tt0108778/,TV Series,8.9,22,1994,"Comedy, Romance",1166337,2001-09,
5,tt0141842,2013-03-18,2013-03-18,,"Сопрано","The Sopranos",https://www.imdb.com/title/tt0141842/,TV Series,9.2,60,1999,"Crime, Drama",549302,2002-10-27,
6,tt0094582,2013-03-19,2013-03-19,,"The Wonder Years","The Wonder Years",https://www.imdb.com/title/tt0094582/,TV Series,8.4,22,1988,"Comedy, Drama, Family, Romance",43055,1988-01-31,
7,tt0098904,2013-03-18,2013-03-18,,"Сайнфелд","Seinfeld",https://www.imdb.com/title/tt0098904/,TV Series,8.9,22,1989,"Comedy",375666,1989-07-05,
8,tt1856010,2015-06-14,2015-06-14,,"Карточный домик","House of Cards",https://www.imdb.com/title/tt1856010/,TV Series,8.6,50,2013,"Drama, Thriller",552829,2013-02-01,
9,tt0411008,2013-03-18,2013-03-18,"Even with the last episode, still the great one!!!","Остаться в живых","Lost",https://www.imdb.com/title/tt0411008/,TV Series,8.3,45,2004,"Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",657487,2005-07-10,
10,tt0475784,2017-04-12,2017-04-12,,"Мир Дикого Запада","Westworld",https://www.imdb.com/title/tt0475784/,TV Series,8.4,60,2016,"Drama, Mystery, Sci-Fi",552798,2016-10-02,
11,tt4574334,2017-04-12,2017-04-12,,"Очень странные дела","Stranger Things",https://www.imdb.com/title/tt4574334/,TV Series,8.6,60,2016,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",1497831,2016-07-15,
12,tt0106179,2013-03-18,2013-03-18,,"Секретные материалы","The X Files",https://www.imdb.com/title/tt0106179/,TV Series,8.6,45,1993,"Adventure, Crime, Drama, Mystery, Sci-Fi, Thriller",267309,1997-01,
13,tt7366338,2021-01-24,2021-01-24,,"Чернобыль","Chernobyl",https://www.imdb.com/title/tt7366338/,TV Mini Series,9.3,60,2019,"Drama, History, Thriller",984681,2019-05-07,
14,tt3032476,2017-04-12,2017-04-12,,"Лучше звоните Солу","Better Call Saul",https://www.imdb.com/title/tt3032476/,TV Series,9.0,45,2015,"Crime, Drama",773697,2015-02-08,
15,tt2707408,2016-03-27,2016-03-27,,"Нарко","Narcos",https://www.imdb.com/title/tt2707408/,TV Series,8.7,50,2015,"Biography, Crime, Drama, Thriller",513653,2015-08-28,
16,tt0182576,2013-03-18,2013-03-18,,"Гриффины","Family Guy",https://www.imdb.com/title/tt0182576/,TV Series,8.1,22,1999,"Animation, Comedy",382878,2009-11-02,
17,tt1266020,2021-01-24,2021-01-24,,"Парки и зоны отдыха","Parks and Recreation",https://www.imdb.com/title/tt1266020/,TV Series,8.6,22,2009,"Comedy",308602,2009-04-09,
18,tt0096697,2013-03-18,2013-03-18,"I'm not crazy, I just hate the last 12 seasons, Simpons should be the best ever, but It didn't stop!!!","Симпсоны","The Simpsons",https://www.imdb.com/title/tt0096697/,TV Series,8.6,22,1989,"Animation, Comedy",460789,1994-06-23,
19,tt0306414,2015-06-15,2015-06-15,,"Прослушка","The Wire",https://www.imdb.com/title/tt0306414/,TV Series,9.3,60,2002,"Crime, Drama, Thriller",415661,2002-06-02,
20,tt0384766,2013-03-18,2013-03-18,,"Рим","Rome",https://www.imdb.com/title/tt0384766/,TV Series,8.7,60,2005,"Action, Drama, Romance, War",199307,2005-08-28,
21,tt2861424,2017-10-13,2017-10-13,,"Рик и Морти","Rick and Morty",https://www.imdb.com/title/tt2861424/,TV Series,9.0,23,2013,"Animation, Adventure, Comedy, Sci-Fi",672604,2014-09-08,
