Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0877057,2021-12-14,2021-12-14,,"Тетрадь смерти","Death Note: Desu nôto",https://www.imdb.com/title/tt0877057/,TV Series,8.9,24,2006,"Animation, Crime, Drama, Fantasy, Mystery, Thriller",449444,2006-10-03,
2,tt2560140,2021-12-14,2021-12-14,,"Атака титанов","Shingeki no Kyojin",https://www.imdb.com/title/tt2560140/,TV Series,9.1,24,2013,"Animation, Action, Adventure, Drama, Fantasy, Horror",657597,2013-04-07,
3,tt1355642,2021-12-14,2021-12-14,,"Стальной алхимик: Братство","Hagane no renkinjutsushi",https://www.imdb.com/title/tt1355642/,TV Series,9.1,24,2009,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi",232884,2009-04-05,
4,tt4508902,2021-12-14,2021-12-14,,"Ванпанчмен","One Punch Man: Wanpanman",https://www.imdb.com/title/tt4508902/,TV Series,8.6,24,2015,"Animation, Action, Comedy, Fantasy, Sci-Fi",212215,2015-10-01,
5,tt0214341,2021-12-14,2021-12-14,,"Драконий жемчуг Зет","Dragon Ball Z",https://www.imdb.com/title/tt0214341/,TV Series,8.8,24,1996,"Animation, Action, Adventure, Fantasy, Sci-Fi, Thriller",168764,1996-09-13,
6,tt0213338,2021-12-14,2021-12-14,,"Ковбой Бибоп","Kaubôi Bibappu",https://www.imdb.com/title/tt0213338/,TV Series,8.9,24,1998,"Animation, Action, Adventure, Comedy, Drama, Sci-Fi",160540,1998-04-03,
7,tt0988824,2021-12-14,2021-12-14,,"Наруто: Ураганные хроники","Naruto: Shippûden",https://www.imdb.com/title/tt0988824/,TV Series,8.7,24,2007,"Animation, Action, Adventure, Comedy, Drama, Fantasy",209430,2007-02-15,
8,tt0388629,2021-12-14,2021-12-14,,"Ван-Пис","One Piece: Wan pîsu",https://www.imdb.com/title/tt0388629/,TV Series,9.0,24,1999,"Animation, Action, Adventure, Comedy, Drama, Fantasy",328916,1999-10-20,
9,tt0409591,2021-12-14,2021-12-14,,"Наруто","Naruto",https://www.imdb.com/title/tt0409591/,TV Series,8.4,24,2002,"Animation, Action, Adventure, Comedy, Fantasy",156939,2002-10-03,
10,tt2098220,2021-12-14,2021-12-14,,"Охотник х Охотник","Hunter x Hunter",https://www.imdb.com/title/tt2098220/,TV Series,9.0,24,2011,"Animation, Action, Adventure, Comedy, Fantasy",177196,2011-10-02,
